trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1732914780_N..N31R,127300_N..N31R,N,0,1732914780,1N 2113 STL/DIT,1732939088,1732939101,1115,0,0
1732914780_N..S34R,127300_N..S34R,N,1,1732914780,1N 2113 DIT/STL,1732937031,1732937046,879,0,0
1732914810_4..N06R,127350_4..N06R,4,0,1732914810,04 2113+ UTI/WDL,1732936749,1732936759,785,0,0
1732914810_F..S69R,127350_F..S69R,F,1,1732914810,1F 2113+ 179/STL,1732939033,1732939039,1308,0,0
1732914810_GS.S01R,127350_GS.S01R,GS,1,1732914810,0S 2113+ TSS/GCS,1732932862,1732932874,266,0,0
1732914810_H..S21R,127350_H..S21R,H,1,1732914810,1H 2113+ BCR/RPK,1732933369,1732933384,277,0,0
1732914840_5..S01R,127400_5..S01R,5,1,1732914840,05 2114  DYR/180,1732933564,1732933569,359,0,0
1732914840_Q..S36R,127400_Q..S36R,Q,1,1732914840,1Q 2114 962/STL,1732936881,1732936896,394,0,0
1732914870_5..N73X003,127450_5..N73X003,5,0,1732914870,05 2114+ BWG/DYR,1732936864,1732936869,800,0,0
1732914870_7..N,127450_7..N,7,0,1732914870,07 2114+ 34H/MST,1732935139,1732935144,581,0,0
1732914870_C..N04R,127450_C..N04R,C,0,1732914870,1C 2114+ EUC/168,1732937288,1732937303,534,0,0
1732914870_L..S,127450_L..S,L,1,1732914870,0L 2114+8AV/RPY,1732934941,1732934951,517,0,0
1732914900_7..S,127500_7..S,7,1,1732914900,07 2115 MST/34H,1732935024,1732935034,558,0,0
1732914900_C..S04R,127500_C..S04R,C,1,1732914900,1C 2115 168/EUC,1732937273,1732937288,531,0,0
1732914900_D..N16R,127500_D..N16R,D,0,1732914900,1D 2115 BLF/205,1732935865,1732935873,875,0,0
1732914900_E..N72R,127500_E..N72R,E,0,1732914900,1E 2115 WTC/P-A,1732935802,1732935817,433,0,0
1732914900_F..N07R,127500_F..N07R,F,0,1732914900,1F 2115 STL/179,1732939534,1732939544,1365,0,0
1732914900_GS.N04R,127500_GS.N04R,GS,0,1732914900,0S 2115  GCS/TSS,1732932952,1732932964,278,0,0
1732914960_6..N01R,127600_6..N01R,6,0,1732914960,06 2116  BBR/PEL,1732936629,1732936639,769,0,0
1732914960_D..S07R,127600_D..S07R,D,1,1732914960,1D 2116 BPK/STL,1732938559,1732938568,803,1,1
1732914960_L..N,127600_L..N,L,0,1732914960,0L 2116 RPY/8AV,1732935166,1732935176,535,0,0
1732914960_N..S72R,127600_N..S72R,W,1,1732914960,1W 2116 DIT/WHL,1732935995,1732936010,786,0,0
1732914990_1..N03R,127650_1..N03R,1,0,1732914990,01 2116+ SFT/242,1732936684,1732936689,776,0,0
1732915002_7..N,127671_7..N,7,0,1732915002,E7 2116+ 69S/MST,1732933944,1732933954,126,0,0
